,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
526,1600.0,21.8,0.9,5.48,144.0,60.0,130.0,6.0,2.0,A
527,1600.0,24.7,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
528,1600.0,24.7,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
529,1400.0,25.8,0.9,5.48,144.0,60.0,130.0,6.0,2.0,A
530,1600.0,25.8,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
531,1400.0,29.2,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
532,1400.0,29.2,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
533,1600.0,29.9,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
534,1400.0,30.7,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
535,1300.0,31.9,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
536,1300.0,31.9,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
537,1200.0,31.9,0.9,5.48,144.0,60.0,130.0,6.0,2.0,A
538,1300.0,33.5,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
539,1200.0,34.7,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
540,1200.0,34.7,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
541,1400.0,35.3,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
542,1100.0,35.7,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
543,1100.0,35.7,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
544,1000.0,36.7,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
545,1000.0,36.7,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
546,1200.0,37.0,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
547,900.0,38.8,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
548,900.0,38.8,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
549,1300.0,38.8,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
550,800.0,40.2,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
551,800.0,40.2,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
552,700.0,41.0,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
553,700.0,41.0,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
554,600.0,41.4,0.9,5.25,138.0,60.0,130.0,6.0,39.0,A
555,600.0,41.4,0.9,5.25,138.0,60.0,130.0,6.0,38.0,A
556,1100.0,41.6,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
557,1000.0,41.9,0.9,5.48,144.0,60.0,130.0,6.0,2.0,A
558,1200.0,42.9,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
559,1000.0,44.3,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
560,1100.0,46.9,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
561,1000.0,48.0,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
562,800.0,49.0,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
563,800.0,50.0,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
564,600.0,52.7,0.85,7.6,180.0,60.0,130.0,6.0,12.0,A
565,700.0,53.2,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
566,800.0,53.6,0.9,5.48,144.0,60.0,130.0,6.0,2.0,A
567,600.0,54.5,0.85,7.6,180.0,60.0,130.0,6.0,40.0,A
