,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
31,2003.0,0.1,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
32,2006.0,0.2,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
36,2007.0,0.3,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
38,2009.0,0.4,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
42,6014.999999999995,0.5,0.28,50.1,420.0,13.0,88.0,8.0,18.0,B
43,1999.0,0.5,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
48,1992.0,0.6,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
50,1982.0,0.7,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
52,1985.0,0.8,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
57,1980.0,0.9,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
61,4220.0,1.0,0.28,50.1,420.0,13.0,88.0,8.0,18.0,B
62,1993.0,1.0,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
68,2345.0,1.1,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
70,1986.0,1.2,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
72,1991.0,1.3,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
73,2299.0,1.3,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
77,1984.0,1.4,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
82,3554.000000000002,1.5,0.28,50.1,420.0,13.0,88.0,8.0,18.0,B
83,1991.0,1.5,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
84,2252.0,1.5,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
90,1994.0,1.7,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
92,2189.0,1.8,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
95,1991.0,1.9,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
96,2166.0,1.9,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
101,3166.0000000000014,2.0,0.28,50.1,420.0,13.0,88.0,8.0,18.0,B
104,1993.0,2.1,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
105,2120.0,2.1,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
110,2074.0,2.3,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
113,2051.0,2.4,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
118,2845.9999999999973,2.5,0.28,50.1,420.0,13.0,88.0,8.0,18.0,B
123,2006.0,2.6,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
125,1923.0,2.7,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
126,1980.0,2.7,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
130,1857.0,2.8,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
131,1954.0,2.8,0.28,60.0,580.0,7.5,94.0,8.0,54.0,B
134,1784.0,2.9,0.25,60.0,390.0,10.0,88.0,10.0,29.0,B
