,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
0,6878.0,0.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
1,4818.0,1.0,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
2,3683.0,1.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
3,1100.0,1.7,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
4,1080.0,1.8,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
5,1060.0,2.0,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
6,2984.0,2.0,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
7,2548.0,2.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
9,980.0,2.8,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
10,960.0,3.0,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
11,2228.0,3.0,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
12,940.0,3.3,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
13,920.0,3.5,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
14,1991.0,3.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
15,880.0,4.0,0.27,105.3,565.0,22.0,87.0,8.0,4.0,C
16,1591.0,5.0,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
18,1494.0,5.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
19,1408.0,6.0,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
20,1335.0,6.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
21,1267.0,7.0,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
22,1195.0,7.5,0.28,86.0,450.0,26.5,88.0,8.0,53.0,C
28,2884.0,0.04489795918367347,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
29,2918.0,0.1,0.25,119.5,550.0,10.0,87.0,8.0,48.0,C
30,2918.0,0.1,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
33,3359.0,0.3,0.25,82.5,620.0,13.0,88.0,8.0,37.0,C
34,2738.0,0.3,0.25,119.5,550.0,10.0,87.0,8.0,48.0,C
35,2738.0,0.3,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
37,2716.0,0.3,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
39,2744.0,0.5,0.25,82.5,620.0,13.0,88.0,8.0,37.0,C
40,3779.0,0.5,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
41,3907.0,0.5,0.25,136.2,630.0,22.0,88.0,8.0,30.0,C
44,2563.7,0.5551020408163265,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
46,2575.0,0.6,0.25,119.5,550.0,10.0,87.0,8.0,48.0,C
47,2575.0,0.6,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
53,2432.9,0.8102040816326531,0.25,119.5,550.0,10.0,87.0,8.0,20.0,C
55,2445.0,0.9,0.25,119.5,550.0,10.0,87.0,8.0,48.0,C
56,2445.0,0.9,0.25,119.5,550.0,10.0,87.0,8.0,31.0,C
58,2769.0,1.0,0.25,136.2,630.0,22.0,88.0,8.0,45.0,C
