,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
8,2548.0,2.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
17,1678.0,5.0,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
23,1341.0,7.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
24,1145.0,10.0,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
25,1032.0,12.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
26,932.0,15.0,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
27,874.0,17.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
45,4200.0,0.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
49,4100.0,0.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
51,3989.0,0.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
54,3822.0,0.9,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
60,3701.0,1.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
65,3579.0,1.1,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
69,3450.0,1.2,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
71,3343.0,1.3,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
75,3232.0,1.4,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
81,3147.0,1.5,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
86,3062.0,1.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
87,2946.0,1.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
91,2887.0,1.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
94,2827.0,1.9,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
100,2738.0,2.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
103,2679.0,2.1,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
106,2620.0,2.2,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
109,2531.0,2.3,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
112,2501.0,2.4,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
117,2442.0,2.5,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
122,2382.0,2.6,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
124,2352.0,2.7,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
127,2294.0,2.8,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
133,2264.0,2.9,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
138,2205.0,3.0,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
142,2147.0,3.1,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
147,2118.0,3.2,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
150,2090.0,3.3,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
155,2061.0,3.4,0.37,45.0,320.0,32.5,104.0,8.0,15.0,D
