,Unnamed: 0,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Motor_name_idx,label
0,8,2548.0,2.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
1,17,1678.0,5.0,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
2,23,1341.0,7.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
3,24,1145.0,10.0,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
4,25,1032.0,12.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
5,26,932.0,15.0,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
6,27,874.0,17.5,0.37,24.5,360.0,35.0,95.0,8.0,42.0,D
74,231,3573.0,3.0,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
76,234,3996.0,3.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
77,235,3996.0,3.5,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
78,236,3996.0,3.5,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
79,237,3515.0,3.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
81,239,3650.0,4.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
84,242,3650.0,4.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
85,243,3650.0,4.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
86,244,3182.0,4.0,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
88,246,3350.0,4.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
89,247,3350.0,4.5,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
90,248,3350.0,4.5,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
91,249,2930.0,4.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
93,251,3083.0,5.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
94,252,3083.0,5.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
95,253,3083.0,5.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
96,254,2699.0,5.0,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
97,255,2992.0,5.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
98,256,2992.0,5.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
100,259,2870.0,5.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
101,260,2523.0,5.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
104,264,2602.0,6.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
105,265,2602.0,6.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
107,268,2230.0,6.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
108,269,2167.0,6.9,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
109,271,2395.0,7.0,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
112,274,2077.0,8.5,0.37,34.2,320.0,21.0,104.0,8.0,47.0,D
113,275,1874.0,8.5,0.35,38.0,340.0,21.0,104.0,8.0,0.0,D
114,276,2024.0,9.0,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
115,277,2024.0,9.0,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
116,278,1943.0,9.4,0.4,36.6,300.0,32.5,104.0,8.0,24.0,D
117,279,1943.0,9.4,0.4,36.6,300.0,32.5,104.0,8.0,14.0,D
