,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,label
0,6878.0,0.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
1,4818.0,1.0,0.28,86.0,450.0,26.5,88.0,8.0,0.0
2,3683.0,1.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
3,1100.0,1.7,0.27,105.3,565.0,22.0,87.0,8.0,0.0
4,1080.0,1.8,0.27,105.3,565.0,22.0,87.0,8.0,0.0
5,1060.0,2.0,0.27,105.3,565.0,22.0,87.0,8.0,0.0
6,2984.0,2.0,0.28,86.0,450.0,26.5,88.0,8.0,0.0
7,2548.0,2.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
8,2548.0,2.5,0.37,24.5,360.0,35.0,95.0,8.0,2.0
9,980.0,2.8,0.27,105.3,565.0,22.0,87.0,8.0,0.0
10,960.0,3.0,0.27,105.3,565.0,22.0,87.0,8.0,0.0
11,2228.0,3.0,0.28,86.0,450.0,26.5,88.0,8.0,0.0
12,940.0,3.3,0.27,105.3,565.0,22.0,87.0,8.0,0.0
13,920.0,3.5,0.27,105.3,565.0,22.0,87.0,8.0,0.0
14,1991.0,3.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
15,880.0,4.0,0.27,105.3,565.0,22.0,87.0,8.0,0.0
16,1591.0,5.0,0.28,86.0,450.0,26.5,88.0,8.0,0.0
17,1678.0,5.0,0.37,24.5,360.0,35.0,95.0,8.0,2.0
18,1494.0,5.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
19,1408.0,6.0,0.28,86.0,450.0,26.5,88.0,8.0,0.0
20,1335.0,6.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
21,1267.0,7.0,0.28,86.0,450.0,26.5,88.0,8.0,0.0
22,1195.0,7.5,0.28,86.0,450.0,26.5,88.0,8.0,0.0
23,1341.0,7.5,0.37,24.5,360.0,35.0,95.0,8.0,2.0
24,1145.0,10.0,0.37,24.5,360.0,35.0,95.0,8.0,2.0
25,1032.0,12.5,0.37,24.5,360.0,35.0,95.0,8.0,2.0
26,932.0,15.0,0.37,24.5,360.0,35.0,95.0,8.0,2.0
27,874.0,17.5,0.37,24.5,360.0,35.0,95.0,8.0,2.0
28,2884.0,0.0,0.25,119.5,550.0,10.0,87.0,8.0,0.0
29,2918.0,0.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
30,2918.0,0.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
31,2003.0,0.1,0.25,60.0,390.0,10.0,88.0,10.0,0.0
32,2006.0,0.2,0.25,60.0,390.0,10.0,88.0,10.0,0.0
33,3359.0,0.3,0.25,82.5,620.0,13.0,88.0,8.0,0.0
34,2738.0,0.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
35,2738.0,0.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
36,2007.0,0.3,0.25,60.0,390.0,10.0,88.0,10.0,0.0
37,2716.0,0.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
38,2009.0,0.4,0.25,60.0,390.0,10.0,88.0,10.0,0.0
39,2744.0,0.5,0.25,82.5,620.0,13.0,88.0,8.0,0.0
40,3779.0,0.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
41,3907.0,0.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
42,6015.0,0.5,0.28,50.1,420.0,13.0,88.0,8.0,0.0
43,1999.0,0.5,0.25,60.0,390.0,10.0,88.0,10.0,0.0
44,2563.7,0.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
45,4200.0,0.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
46,2575.0,0.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
47,2575.0,0.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
48,1992.0,0.6,0.25,60.0,390.0,10.0,88.0,10.0,0.0
49,4100.0,0.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
50,1982.0,0.7,0.25,60.0,390.0,10.0,88.0,10.0,0.0
51,3989.0,0.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
52,1985.0,0.8,0.25,60.0,390.0,10.0,88.0,10.0,0.0
53,2432.9,0.8,0.25,119.5,550.0,10.0,87.0,8.0,0.0
54,3822.0,0.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
55,2445.0,0.9,0.25,119.5,550.0,10.0,87.0,8.0,0.0
56,2445.0,0.9,0.25,119.5,550.0,10.0,87.0,8.0,0.0
57,1980.0,0.9,0.25,60.0,390.0,10.0,88.0,10.0,0.0
58,2769.0,1.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
59,2804.0,1.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
60,3701.0,1.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
61,4220.0,1.0,0.28,50.1,420.0,13.0,88.0,8.0,0.0
62,1993.0,1.0,0.25,60.0,390.0,10.0,88.0,10.0,0.0
63,2315.1,1.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
64,1985.0,1.1,0.25,82.5,620.0,13.0,88.0,8.0,0.0
65,3579.0,1.1,0.37,45.0,320.0,32.5,104.0,8.0,2.0
66,2308.0,1.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
67,2308.0,1.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
68,2345.0,1.1,0.28,60.0,580.0,7.5,94.0,8.0,0.0
69,3450.0,1.2,0.37,45.0,320.0,32.5,104.0,8.0,2.0
70,1986.0,1.2,0.25,60.0,390.0,10.0,88.0,10.0,0.0
71,3343.0,1.3,0.37,45.0,320.0,32.5,104.0,8.0,2.0
72,1991.0,1.3,0.25,60.0,390.0,10.0,88.0,10.0,0.0
73,2299.0,1.3,0.28,60.0,580.0,7.5,94.0,8.0,0.0
74,2206.2,1.3,0.25,119.5,550.0,10.0,87.0,8.0,0.0
75,3232.0,1.4,0.37,45.0,320.0,32.5,104.0,8.0,2.0
76,2199.0,1.4,0.25,119.5,550.0,10.0,87.0,8.0,0.0
77,1984.0,1.4,0.25,60.0,390.0,10.0,88.0,10.0,0.0
78,1789.0,1.5,0.25,82.5,620.0,13.0,88.0,8.0,0.0
79,2263.0,1.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
80,2259.0,1.5,0.25,136.2,630.0,22.0,88.0,8.0,0.0
81,3147.0,1.5,0.37,45.0,320.0,32.5,104.0,8.0,2.0
82,3554.0,1.5,0.28,50.1,420.0,13.0,88.0,8.0,0.0
83,1991.0,1.5,0.25,60.0,390.0,10.0,88.0,10.0,0.0
84,2252.0,1.5,0.28,60.0,580.0,7.5,94.0,8.0,0.0
85,2108.6,1.6,0.25,119.5,550.0,10.0,87.0,8.0,0.0
86,3062.0,1.6,0.37,45.0,320.0,32.5,104.0,8.0,2.0
87,2946.0,1.7,0.37,45.0,320.0,32.5,104.0,8.0,2.0
88,2090.0,1.7,0.25,119.5,550.0,10.0,87.0,8.0,0.0
89,2090.0,1.7,0.25,119.5,550.0,10.0,87.0,8.0,0.0
90,1994.0,1.7,0.25,60.0,390.0,10.0,88.0,10.0,0.0
91,2887.0,1.8,0.37,45.0,320.0,32.5,104.0,8.0,2.0
92,2189.0,1.8,0.28,60.0,580.0,7.5,94.0,8.0,0.0
93,2024.0,1.8,0.25,119.5,550.0,10.0,87.0,8.0,0.0
94,2827.0,1.9,0.37,45.0,320.0,32.5,104.0,8.0,2.0
95,1991.0,1.9,0.25,60.0,390.0,10.0,88.0,10.0,0.0
96,2166.0,1.9,0.28,60.0,580.0,7.5,94.0,8.0,0.0
97,1596.0,2.0,0.25,82.5,620.0,13.0,88.0,8.0,0.0
98,1917.0,2.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
99,1914.0,2.0,0.25,136.2,630.0,22.0,88.0,8.0,0.0
100,2738.0,2.0,0.37,45.0,320.0,32.5,104.0,8.0,2.0
101,3166.0,2.0,0.28,50.1,420.0,13.0,88.0,8.0,0.0
102,1943.3,2.1,0.25,119.5,550.0,10.0,87.0,8.0,0.0
103,2679.0,2.1,0.37,45.0,320.0,32.5,104.0,8.0,2.0
104,1993.0,2.1,0.25,60.0,390.0,10.0,88.0,10.0,0.0
105,2120.0,2.1,0.28,60.0,580.0,7.5,94.0,8.0,0.0
