P/No,Watt,Speed(RPM),Torque(kg.cm),Coil Dia,Coil R,Coil Turn,Core Thick,Core Dia,Poles,Torque_division,shape_division
EAU62543502,60,6878,0.5,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,4818,1,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,3683,1.5,0.28,86,450,26.5,88,8,2~4,H
EAU32165801,43,1100,1.7,0.27,105.3,565,22,87,8,2~4,H
EAU32165801,43,1080,1.8,0.27,105.3,565,22,87,8,2~4,H
EAU32165801,43,1060,2,0.27,105.3,565,22,87,8,2~4,H
EAU62543502,60,2984,2,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,2548,2.5,0.28,86,450,26.5,88,8,2~4,H
EAU36288415,100,2548,2.5,0.37,24.5,360,35,95,8,2~4,H
EAU32165801,43,980,2.8,0.27,105.3,565,22,87,8,2~4,H
EAU32165801,43,960,3,0.27,105.3,565,22,87,8,2~4,H
EAU62543502,60,2228,3,0.28,86,450,26.5,88,8,2~4,H
EAU32165801,43,940,3.3,0.27,105.3,565,22,87,8,2~4,H
EAU32165801,43,920,3.5,0.27,105.3,565,22,87,8,2~4,H
EAU62543502,60,1991,3.5,0.28,86,450,26.5,88,8,2~4,H
EAU32165801,43,880,4,0.27,105.3,565,22,87,8,2~4,H
EAU62543502,60,1591,5,0.28,86,450,26.5,88,8,2~4,H
EAU36288415,100,1678,5,0.37,24.5,360,35,95,8,2~4,H
EAU62543502,60,1494,5.5,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,1408,6,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,1335,6.5,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,1267,7,0.28,86,450,26.5,88,8,2~4,H
EAU62543502,60,1195,7.5,0.28,86,450,26.5,88,8,2~4,H
EAU36288415,100,1341,7.5,0.37,24.5,360,35,95,8,2~4,H
EAU36288415,100,1145,10,0.37,24.5,360,35,95,8,2~4,H
EAU36288415,100,1032,12.5,0.37,24.5,360,35,95,8,2~4,H
EAU36288415,100,932,15,0.37,24.5,360,35,95,8,2~4,H
EAU36288415,100,874,17.5,0.37,24.5,360,35,95,8,2~4,H
EAU62983016,30,2884,0,0.25,119.5,550,10,87,8,1~4,A
EAU62983002,30,2918,0.1,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,2918,0.1,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,2003,0.1,0.25,60,390,10,88,10,1~4,A
EAU62983008,30,2006,0.2,0.25,60,390,10,88,10,1~4,A
EAU62243920,40,3359,0.3,0.25,82.5,620,13,88,8,1~4,A
EAU62983002,30,2738,0.3,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,2738,0.3,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,2007,0.3,0.25,60,390,10,88,10,1~4,A
EAU62983016,30,2716,0.3,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,2009,0.4,0.25,60,390,10,88,10,1~4,A
EAU62243920,40,2744,0.5,0.25,82.5,620,13,88,8,1~4,A
4681A20168G,43,3779,0.5,0.25,136.2,630,22,88,8,1~4,A
4681A20168H,43,3907,0.5,0.25,136.2,630,22,88,8,1~4,A
EAU61883001,30,6015,0.5,0.28,50.1,420,13,88,8,1~4,A
EAU62983008,30,1999,0.5,0.25,60,390,10,88,10,1~4,A
EAU62983016,30,2563.7,0.6,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,4200,0.6,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,2575,0.6,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,2575,0.6,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,1992,0.6,0.25,60,390,10,88,10,1~4,A
EAU36288424,124,4100,0.7,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1982,0.7,0.25,60,390,10,88,10,1~4,A
EAU36288424,124,3989,0.8,0.37,45,320,32.5,104,8,1~4,A
EAU62983008,30,1985,0.8,0.25,60,390,10,88,10,1~4,A
EAU62983016,30,2432.9,0.8,0.25,119.5,550,10,87,8,1~4,A
EAU36288424,124,3822,0.9,0.37,45,320,32.5,104,8,1~4,A
EAU62983002,30,2445,0.9,0.25,119.5,550,10,87,8,1~4,A
EAU62983004,30,2445,0.9,0.25,119.5,550,10,87,8,1~4,A
EAU62983008,30,1980,0.9,0.25,60,390,10,88,10,1~4,A
4681A20168G,43,2769,1,0.25,136.2,630,22,88,8,1~4,A
